"Michael Carter-Williams, PG",CHA,52,16.1,-2.41,1.09,-1.32,0.94
"Georges Niang, SF",UTAH,9,3.6,-2.16,0.83,-1.33,0.04
"Jacob Pullen, PG",PHI,3,2.0,-1.32,-0.02,-1.34,0.01
"Omari Johnson, F",MEM,4,18.8,-1.39,0.03,-1.36,0.08
"Luol Deng, SF",LAL,1,13.0,-1.99,0.62,-1.37,0.02
"Naz Mitrou-Long, G",UTAH,1,1.0,-1.29,-0.09,-1.38,0.00
"Trey McKinney-Jones, SG",IND,1,1.0,-1.89,0.49,-1.40,0.00
"Johnathan Motley, PF",DAL,11,16.0,-1.94,0.53,-1.41,0.18
"Brice Johnson, PF",LAC/MEM,18,5.4,-2.12,0.70,-1.42,0.11
"Tony Bradley, C",UTAH,9,3.2,-2.04,0.61,-1.43,0.03
"Michael Beasley, SF",NY,74,22.3,-0.42,-1.04,-1.46,1.76
"Sam Dekker, F",LAC,73,12.1,-1.88,0.42,-1.46,0.96
"Pat Connaughton, SG",POR,82,18.1,-0.08,-1.39,-1.47,1.55
"Caleb Swanigan, PF",POR,27,7.0,-2.64,1.16,-1.48,0.20
"Kyle Kuzma, PF",LAL,77,31.2,0.01,-1.54,-1.53,2.49
"Raymond Felton, PG",OKC,82,16.6,-0.50,-1.06,-1.56,1.28
"Kenneth Faried, PF",DEN,32,14.4,-2.05,0.49,-1.56,0.45
"Cameron Payne, PG",CHI,25,23.3,-0.79,-0.78,-1.57,0.60
"Dante Exum, PG",UTAH,14,16.8,-0.91,-0.66,-1.57,0.24
"Lauri Markkanen, PF",CHI,68,29.7,-0.69,-0.89,-1.58,2.00
"Brandon Ingram, SF",LAL,59,33.5,-1.31,-0.28,-1.59,1.97
"Dwyane Wade, SG",CLE/MIA,67,22.9,-1.83,0.23,-1.60,1.51
"Maurice Harkless, SF",POR,59,21.4,-1.25,-0.11,-1.36,1.40
"Tyler Ennis, G",LAL,54,12.6,-2.28,0.92,-1.36,0.78
"Tim Frazier, PG",WSH,59,14.2,-1.69,0.32,-1.37,0.93
"Alex Abrines, SG",OKC,75,15.1,-0.35,-1.03,-1.38,1.21
"Okaro White, F",MIA,6,13.3,-1.56,0.15,-1.41,0.09
"Trevor Booker, PF",IND/BKN/PHI,68,17.0,-1.15,-0.27,-1.42,0.98
"Rodney McGruder, SG",MIA,18,16.6,-0.94,-0.49,-1.43,0.32
"Kyle Collinsworth, PG",DAL,32,15.0,-1.28,-0.16,-1.44,0.02
"Iman Shumpert, SG",CLE,14,19.7,-2.26,0.80,-1.46,0.30
"Gordon Hayward, SF",BOS,1,5.0,-1.69,0.22,-1.47,0.01
"Kelly Oubre Jr., SF",WSH,81,27.5,-0.19,-1.29,-1.48,2.36
"Antonius Cleveland, SG",ATL/DAL,17,7.2,-1.90,0.39,-1.51,0.06
"Nicolas Brussino, SF",ATL,4,2.5,-1.37,-0.16,-1.53,0.01
"Luke Babbitt, SF",ATL/MIA,50,14.3,-0.49,-1.07,-1.56,0.73
"Erik McCree, SF",UTAH,4,2.0,-1.95,0.38,-1.57,0.01
"Damian Jones, C",GS,15,5.9,-2.27,0.70,-1.57,0.09
"Reggie Hearn, SG",DET,3,2.3,-1.63,0.05,-1.58,0.01
"Xavier Silas, G",BOS,2,3.5,-1.77,0.18,-1.59,0.01
"Jarrett Allen, C",BKN,72,20.0,-2.46,0.87,-1.59,1.42
"Michael Kidd-Gilchrist, SF",CHA,74,25.0,-1.89,0.29,-1.60,1.83
"Isaiah Whitehead, G",BKN,16,11.3,-2.24,0.63,-1.61,0.18
"Ike Anigbogu, C",IND,11,2.7,-1.72,0.10,-1.62,0.03
"T.J. McConnell, PG",PHI,76,22.4,-1.59,-0.04,-1.63,1.69
"Tyler Lydon, PF",DEN,1,2.0,-1.90,0.24,-1.66,0.00
"Tim Quarterman, G",HOU,3,4.3,-1.73,0.06,-1.67,0.00
"Andrew Harrison, SG",MEM,56,23.7,-1.01,-0.68,-1.69,1.16
"Jeremy Evans, F",ATL,1,5.0,-1.73,0.03,-1.70,0.01
"Marco Belinelli, SG",ATL/PHI,80,24.3,1.14,-2.85,-1.71,1.79
"Taurean Prince, SF",ATL,82,30.0,0.04,-1.76,-1.72,2.25
"Josh Magette, G",ATL,18,12.0,-1.41,-0.31,-1.72,0.19
"Alfonzo McKinnie, F",TOR,14,3.8,-1.70,-0.04,-1.74,0.05
"Noah Vonleh, PF",CHI/POR,54,16.2,-3.18,1.44,-1.74,0.78
"Greg Monroe, C",BOS/MIL/PHX,51,20.4,-1.13,-0.63,-1.76,0.91
"Derrick Jones Jr., SF",MIA/PHX,20,12.3,-1.06,-0.70,-1.76,0.03
"Dante Cunningham, SF",NO/BKN,73,21.4,-1.74,-0.04,-1.78,1.37
"Luke Kornet, PF",NY,20,16.4,-1.76,-0.03,-1.79,0.28
"Jordan Clarkson, PG",CLE/LAL,81,23.3,-0.05,-1.75,-1.80,1.63
"Scotty Hopson, SG",DAL,1,8.0,-1.79,-0.03,-1.82,0.01
"Monte Morris, PG",DEN,3,8.3,-1.42,-0.40,-1.82,0.02
"Quincy Acy, SF",BKN,70,19.4,-1.46,-0.38,-1.84,1.12
"Andrew Wiggins, SF",MIN,82,36.3,0.22,-1.84,-1.62,2.85
"Darrell Arthur, PF",DEN,19,7.4,-1.98,0.35,-1.63,0.14
"Marquese Chriss, PF",PHX,72,21.2,-2.40,0.76,-1.64,1.51
"Jabari Bird, SG",BOS,13,8.8,-1.33,-0.34,-1.67,0.10
"Sindarius Thornwell, SG",LAC,73,15.8,-2.98,1.30,-1.68,1.09
"Tony Allen, SG",NO,22,12.4,-2.13,0.43,-1.70,0.26
"Jeremy Lin, PG",BKN,1,25.0,-1.54,-0.16,-1.70,0.03
"Terrence Ross, SG",ORL,24,25.0,-2.17,0.46,-1.71,0.56
"Bryn Forbes, SG",SA,80,19.0,0.41,-2.13,-1.72,1.35
